"","StationCode","Latitude","Longitude"
"160","SMC04682",32.97115,-116.64814
"161","SMC04748",34.41314,-118.65879
"162","SMC04749",33.85826,-117.21321
"163","SMC04750",34.041,-118.58149
"164","SMC04756",34.27092,-118.9269
"165","SMC04795",34.47989,-119.17067
"166","SMC04932",34.20139,-119.00115
"167","SMC04956",34.42708,-118.57409
"168","SMC05109",33.4745,-117.13858
"169","SMC05199",34.40412,-119.28071
"170","SMC05243",34.5925,-119.25122
"171","SMC05402",32.80468,-116.57311
"172","SMC05407",34.50124,-119.35043
"173","SMC05524",34.27032,-118.91723
"174","SMC05702",32.83209,-117.22954
"175","SMC05759",34.35232,-119.03474
"176","SMC05902",34.03432,-118.51218
"177","SMC06019",33.68262,-117.81236
"178","SMC06216",34.27407,-118.31518
"179","SMC06458",32.66901,-117.01724
"180","SMC06467",33.79118,-117.71782
"181","SMC06653",33.96371,-117.46267
"182","SMC06714",32.67579,-117.00604
"183","SMC06863",34.49417,-119.30534
"184","SMC06926",34.04799,-118.51137
"185","SMC08150",32.83731,-117.01975
"186","SMC08335",34.34583,-119.29948
"187","SMC08426",32.65071,-117.05482
"188","SMC08540",34.44828,-118.61769
"189","SMC08766",33.90192,-118.10859
"190","SMC08845",33.87309,-117.21355
"191","SMC09162",32.84087,-116.70988
"192","SMC09286",32.78194,-117.11419
"193","SMC09534",33.83832,-118.09487
"194","SMC09564",34.4322,-118.59397
"195","SMC10189",33.95788,-117.30685
"196","SMC10685",34.01879,-117.36873
"197","SMC11384",34.09552,-118.66521
"198","SMC11581",33.95246,-117.60611
"199","SMC11727",34.47857,-119.29339
"200","SMC12814",34.04892,-118.84641
"201","SMC12862",33.92148,-118.11149
"202","SMC15677",33.95445,-117.60439
"203","SMC16266",32.81855,-116.75313
"204","SMC16832",33.88444,-118.10855
"205","SMC16980",34.43268,-119.24974
"206","SMC17056",34.4263,-118.5779
"207","SMC20032",33.87664,-118.10774
"208","SMC21822",33.87234,-117.70876
"209","SMC24222",33.87151,-117.71724
"210","SMC26288",33.77432,-117.69453
"211","SMC32718",32.88458,-116.82232
"212","SMC32897",33.86921,-117.21318
"213","SMC34888",33.77386,-117.68432
"214","SMC35697",34.35404,-119.30981
"215","SMCR8_007",34.0952,-116.96447
"216","SMCR8_011",33.85815,-117.78667
"217","SMCR8_012",33.91909,-117.82201
"218","SMCR8_019",33.92417,-117.59778
"219","SMCR8_020",33.76698,-116.6902
